race_id,driver_id,constructor_id,car_number,grid_position,final_position,position_text,points,laps_completed,status,time_millis,time_text
2023_1,max_verstappen,red_bull,1,1,1,1,25.0,57,Finished,5636736,1:33:56.736
2023_1,perez,red_bull,11,2,2,2,18.0,57,Finished,5648723,+11.987
2023_1,alonso,aston_martin,14,5,3,3,15.0,57,Finished,5675373,+38.637
2023_1,sainz,ferrari,55,4,4,4,12.0,57,Finished,5684788,+48.052
2023_1,hamilton,mercedes,44,7,5,5,10.0,57,Finished,5687713,+50.977
2023_1,stroll,aston_martin,18,8,6,6,8.0,57,Finished,5691238,+54.502
2023_1,russell,mercedes,63,6,7,7,6.0,57,Finished,5692609,+55.873
2023_1,bottas,alfa,77,12,8,8,4.0,57,Finished,5709383,+1:12.647
2023_1,gasly,alpine,10,20,9,9,2.0,57,Finished,5710489,+1:13.753
2023_1,albon,williams,23,15,10,10,1.0,57,Finished,5726510,+1:29.774
2023_1,tsunoda,alphatauri,22,14,11,11,0.0,57,Finished,5727606,+1:30.870
2023_1,sargeant,williams,2,16,12,12,0.0,56,+1 Lap,,
2023_1,kevin_magnussen,haas,20,17,13,13,0.0,56,+1 Lap,,
2023_1,de_vries,alphatauri,21,19,14,14,0.0,56,+1 Lap,,
2023_1,hulkenberg,haas,27,10,15,15,0.0,56,+1 Lap,,
2023_1,zhou,alfa,24,13,16,16,0.0,56,+1 Lap,,
2023_1,norris,mclaren,4,11,17,17,0.0,55,+2 Laps,,
2023_1,ocon,alpine,31,9,18,R,0.0,41,Mechanical,,
2023_1,leclerc,ferrari,16,3,19,R,0.0,39,Engine,,
2023_1,piastri,mclaren,81,18,20,R,0.0,13,Electrical,,
2023_2,perez,red_bull,11,1,1,1,25.0,50,Finished,4874894,1:21:14.894
2023_2,max_verstappen,red_bull,1,15,2,2,19.0,50,Finished,4880249,+5.355
2023_2,alonso,aston_martin,14,2,3,3,15.0,50,Finished,4895622,+20.728
2023_2,russell,mercedes,63,3,4,4,12.0,50,Finished,4900760,+25.866
2023_2,hamilton,mercedes,44,7,5,5,10.0,50,Finished,4905959,+31.065
2023_2,sainz,ferrari,55,4,6,6,8.0,50,Finished,4910770,+35.876
2023_2,leclerc,ferrari,16,12,7,7,6.0,50,Finished,4918056,+43.162
2023_2,ocon,alpine,31,6,8,8,4.0,50,Finished,4927726,+52.832
2023_2,gasly,alpine,10,9,9,9,2.0,50,Finished,4929641,+54.747
2023_2,kevin_magnussen,haas,20,13,10,10,1.0,50,Finished,4939720,+1:04.826
2023_2,tsunoda,alphatauri,22,16,11,11,0.0,50,Finished,4942388,+1:07.494
2023_2,hulkenberg,haas,27,10,12,12,0.0,50,Finished,4945482,+1:10.588
2023_2,zhou,alfa,24,11,13,13,0.0,50,Finished,4950954,+1:16.060
2023_2,de_vries,alphatauri,21,18,14,14,0.0,50,Finished,4952372,+1:17.478
2023_2,piastri,mclaren,81,8,15,15,0.0,50,Finished,4959915,+1:25.021
2023_2,sargeant,williams,2,20,16,16,0.0,50,Finished,4961187,+1:26.293
2023_2,norris,mclaren,4,19,17,17,0.0,50,Finished,4961339,+1:26.445
2023_2,bottas,alfa,77,14,18,18,0.0,49,+1 Lap,,
2023_2,albon,williams,23,17,19,R,0.0,27,Brakes,,
2023_2,stroll,aston_martin,18,5,20,R,0.0,16,Engine,,
2023_3,max_verstappen,red_bull,1,1,1,1,25.0,58,Finished,9158371,2:32:38.371
2023_3,hamilton,mercedes,44,3,2,2,18.0,58,Finished,9158550,+0.179
2023_3,alonso,aston_martin,14,4,3,3,15.0,58,Finished,9159140,+0.769
2023_3,stroll,aston_martin,18,6,4,4,12.0,58,Finished,9161453,+3.082
2023_3,perez,red_bull,11,0,5,5,11.0,58,Finished,9161691,+3.320
2023_3,norris,mclaren,4,13,6,6,8.0,58,Finished,9162072,+3.701
2023_3,hulkenberg,haas,27,10,7,7,6.0,58,Finished,9163310,+4.939
2023_3,piastri,mclaren,81,16,8,8,4.0,58,Finished,9163753,+5.382
2023_3,zhou,alfa,24,17,9,9,2.0,58,Finished,9164084,+5.713
2023_3,tsunoda,alphatauri,22,12,10,10,1.0,58,Finished,9164423,+6.052
